repo_name,default_branch,archived,visibility,url
Mind-Reply,main,true,public,https://github.com/Mind-Reply/Mind-Reply
chatbot,main,true,private,https://github.com/Mind-Reply/chatbot
mcp-with-next-js-and-descope,main,true,public,https://github.com/Mind-Reply/mcp-with-next-js-and-descope
hono,main,true,private,https://github.com/Mind-Reply/hono
symmetrical-tribble-demo-repository,main,true,private,https://github.com/Mind-Reply/symmetrical-tribble-demo-repository
FixCode,master,false,public,https://github.com/Mind-Reply/FixCode
next-devtools-mcp,main,false,public,https://github.com/Mind-Reply/next-devtools-mcp
mind-reply.com,main,false,private,https://github.com/Mind-Reply/mind-reply.com
Mind-Reply-1,main,true,public,https://github.com/Mind-Reply/Mind-Reply-1
cli,trunk,false,public,https://github.com/Mind-Reply/cli
Understand-Anything,main,false,public,https://github.com/Mind-Reply/Understand-Anything
claude-plugins-official,main,false,public,https://github.com/Mind-Reply/claude-plugins-official
amazon-q-vscode,main,false,public,https://github.com/Mind-Reply/amazon-q-vscode
mr,main,true,public,https://github.com/Mind-Reply/mr
repo-secrets-actions,main,true,private,https://github.com/Mind-Reply/repo-secrets-actions
todo-csharp-sql,main,false,public,https://github.com/Mind-Reply/todo-csharp-sql
mindreply-org-site,main,false,public,https://github.com/Mind-Reply/mindreply-org-site
mindreply,main,false,private,https://github.com/Mind-Reply/mindreply
novo,main,true,private,https://github.com/Mind-Reply/novo
Mind,main,true,private,https://github.com/Mind-Reply/Mind
fastapi-python-boilerplate,main,true,private,https://github.com/Mind-Reply/fastapi-python-boilerplate
compose-for-agents,main,false,public,https://github.com/Mind-Reply/compose-for-agents
A11-K,main,false,public,https://github.com/Mind-Reply/A11-K
.github,main,false,public,https://github.com/Mind-Reply/.github
chatneo,main,true,private,https://github.com/Mind-Reply/chatneo
mindreply-production-pack,main,true,private,https://github.com/Mind-Reply/mindreply-production-pack
mr-touch,main,false,private,https://github.com/Mind-Reply/mr-touch
mindreply-studio,main,true,private,https://github.com/Mind-Reply/mindreply-studio
mrteam,main,false,private,https://github.com/Mind-Reply/mrteam
workflows-starter-template,main,true,public,https://github.com/Mind-Reply/workflows-starter-template
dynamic-workers-playground,main,true,public,https://github.com/Mind-Reply/dynamic-workers-playground
cloudflare-playwright-example,main,true,public,https://github.com/Mind-Reply/cloudflare-playwright-example
stagehand-example,main,true,private,https://github.com/Mind-Reply/stagehand-example
playwright-mcp-example,main,true,public,https://github.com/Mind-Reply/playwright-mcp-example
compose-for-agent,main,false,public,https://github.com/Mind-Reply/compose-for-agent
aurel-public,main,true,public,https://github.com/Mind-Reply/aurel-public
AUREL-brand,main,true,public,https://github.com/Mind-Reply/AUREL-brand
angellllkr-eng.github.io,main,false,public,https://github.com/Mind-Reply/angellllkr-eng.github.io
genai-stack,main,false,public,https://github.com/Mind-Reply/genai-stack
a11k-engine-private,main,false,private,https://github.com/Mind-Reply/a11k-engine-private
mindreply-suite-private,main,true,private,https://github.com/Mind-Reply/mindreply-suite-private
mrstation-builder-private,main,false,private,https://github.com/Mind-Reply/mrstation-builder-private
replycontrol-private,main,true,private,https://github.com/Mind-Reply/replycontrol-private
aurel-site-private,main,true,private,https://github.com/Mind-Reply/aurel-site-private
n8n-workflows-private,main,false,private,https://github.com/Mind-Reply/n8n-workflows-private
Aurel,main,false,public,https://github.com/Mind-Reply/Aurel
react-router-starter-template,main,true,public,https://github.com/Mind-Reply/react-router-starter-template
mindreply-next,main,true,private,https://github.com/Mind-Reply/mindreply-next
filesmr,main,false,private,https://github.com/Mind-Reply/filesmr
control-plane,main,false,private,https://github.com/Mind-Reply/control-plane
ai-arena,main,true,public,https://github.com/Mind-Reply/ai-arena
mind-reply-core,main,false,private,https://github.com/Mind-Reply/mind-reply-core
mind-reply-app,main,true,private,https://github.com/Mind-Reply/mind-reply-app
replycontrol,main,false,private,https://github.com/Mind-Reply/replycontrol
whatsapp-ai-router,main,false,private,https://github.com/Mind-Reply/whatsapp-ai-router
own-core,main,false,public,https://github.com/Mind-Reply/own-core
am-service-parts,main,false,public,https://github.com/Mind-Reply/am-service-parts
am-service-portal,main,false,public,https://github.com/Mind-Reply/am-service-portal
am-service-ads-engine,main,false,public,https://github.com/Mind-Reply/am-service-ads-engine
astryx,main,false,public,https://github.com/Mind-Reply/astryx
mrproduction,main,false,private,https://github.com/Mind-Reply/mrproduction
copilot-squad-workspace,main,false,private,https://github.com/Mind-Reply/copilot-squad-workspace
mindreply-brands,main,false,private,https://github.com/Mind-Reply/mindreply-brands
lynnescorts-website,main,false,private,https://github.com/Mind-Reply/lynnescorts-website
